Id,SalePrice
1461,122012.15909807634
1462,162944.39878793512
1463,173685.13794726267
1464,190560.39449451372
1465,179304.45361749973
1466,175511.05267933512
1467,177734.10660860108
1468,172806.6251378588
1469,185325.72043299302
1470,124671.8565932395
1471,194725.42298935985
1472,94756.35782177855
1473,96028.31506780746
1474,150164.3054454354
1475,116933.48889480655
1476,358712.9961321084
1477,248328.1210935352
1478,290963.4746664016
1479,252382.4806016129
1480,469369.24149167415
1481,338472.84409660305
1482,210190.23788935956
1483,178722.9045938866
1484,167078.51910227037
1485,173228.7290111914
1486,195790.5858391681
1487,348704.7026102401
1488,228989.65861346517
1489,201168.44540177597
1490,214422.31381366562
1491,189422.09841942164
1492,90556.61763918771
1493,188271.3165302502
1494,280766.48660318163
1495,281229.16656542034
1496,223298.11037988347
1497,183861.75745731636
1498,161558.06624149467
1499,157831.1346118493
1500,152749.57216602785
1501,178898.01255549036
1502,142447.9266859752
1503,295536.6777684193
1504,244558.04147218392
1505,221207.02017161297
1506,189234.0064943303
1507,246154.82320140133
1508,198855.66421332143
1509,159132.9847640825
1510,151886.70069776825
1511,144694.4000625284
1512,170783.62932371674
1513,148098.80542148434
1514,153830.2465761919
1515,190535.072801909
1516,149706.5631298248
1517,162892.88552893314
1518,128883.18815893545
1519,224568.1734588014
1520,134652.51360036616
1521,133387.33396937378
1522,158492.42374825562
1523,115425.33500670055
1524,122467.31356598885
1525,120908.24177868216
1526,115121.98464971544
1527,101388.25958432312
1528,139327.17897715443
1529,151155.22744764408
1530,175506.1224314228
1531,105093.05843689627
1532,104273.17754509354
1533,149256.94358300557
1534,115878.81311999758
1535,143915.8335014095
1536,113350.30201065177
1537,55074.727493435246
1538,162717.37149728264
1539,181364.0710263501
1540,101779.24798722604
1541,139674.0544172478
1542,138243.51537819434
1543,223988.64178491093
1544,73704.27107686209
1545,110460.55144273455
1546,135080.22703872563
1547,132962.62756994436
1548,134007.8444063301
1549,111939.634952042
1550,135286.13330115462
1551,112199.38207280627
1552,127182.70236390966
1553,142879.31321228904
1554,118289.07022425288
1555,165140.2021074959
1556,80387.72693470152
1557,109652.89546831278
1558,93456.5213573304
1559,88393.6538160202
1560,131903.30823969902
1561,128923.0439162402
1562,124633.78399969354
1563,118742.61648024447
1564,162375.10869097905
1565,141411.5785787725
1566,235389.45548753574
1567,63127.709122329805
1568,230990.57551562463
1569,124034.00654368642
1570,137083.55927531904
1571,109756.36008669641
1572,148584.7303172465
1573,227114.02898265678
1574,115329.45292902603
1575,200343.2339030971
1576,222675.5294446025
1577,193192.83509237762
1578,139788.20634576803
1579,139155.326379543
1580,191506.8350822727
1581,144386.47327811693
1582,128381.10378117663
1583,334725.21801617625
1584,226485.63691240034
1585,141616.10198079055
1586,67859.73211798925
1587,100129.7420141896
1588,151836.9544888139
1589,93134.26826564215
1590,135182.00602405256
1591,102209.73013149077
1592,120838.00810827695
1593,130279.07277193792
1594,130964.6306161019
1595,115057.4111642624
1596,243205.87202209976
1597,173785.02634513832
1598,197878.4210797601
1599,154258.67190874153
1600,160551.006288647
1601,63301.149072184635
1602,105753.91338068504
1603,96838.15317325995
1604,268526.2398976055
1605,249437.27316142916
1606,171297.62452599715
1607,190430.71031380515
1608,209971.0537726273
1609,185098.1656379827
1610,151027.06806908696
1611,137780.39311663993
1612,166755.6064893954
1613,170816.18420593152
1614,123869.82958868217
1615,90000.0302778689
1616,76063.21462766718
1617,92291.1452327036
1618,127329.72652539866
1619,137960.84575631574
1620,166743.3660687527
1621,135431.2793702429
1622,143034.95480786538
1623,297725.3929879838
1624,208991.21956194108
1625,121909.07290158376
1626,154824.22833158227
1627,186159.31268716263
1628,277283.42240976717
1629,180109.9313617963
1630,373705.8202358208
1631,219461.2022910375
1632,235282.38916407904
1633,168292.98829126678
1634,187200.29082354443
1635,178610.92853417873
1636,158064.25667873354
1637,192758.15088592275
1638,189568.37478486917
1639,175249.08500329131
1640,265680.8836466609
1641,175502.56688715165
1642,227716.94400492057
1643,222085.14502794264
1644,236592.1455116039
1645,185980.7044161643
1646,160990.21315802226
1647,149735.2799813742
1648,135672.87349753437
1649,141128.23135828885
1650,114499.87215777436
1651,121695.2379593615
1652,97038.21717270676
1653,99992.70305692214
1654,147827.89132274722
1655,147609.35705022558
1656,148918.92286064397
1657,150909.39371179015
1658,148917.27467177605
1659,126806.26865231781
1660,148978.56268366228
1661,465522.635211248
1662,381498.0959275828
1663,352640.5532825583
1664,457402.5061949837
1665,328873.3962036891
1666,321790.74384785566
1667,377977.87533957936
1668,344569.3677459587
1669,290364.6640110182
1670,343439.46977175976
1671,275885.0622875402
1672,463326.00630526105
1673,291149.6993200486
1674,242950.04343842942
1675,184257.0510003262
1676,188965.02286409953
1677,222808.72003753553
1678,470133.8149876788
